source,target,source_type,target_type
G5 Sahel,Sahel,Organization,Place
España,G5 Sahel,Place,Organization
España,Sahel,Place,Place
Sahel,G5 Sahel,Place,Organization
Sahel,España,Place,Place
Comisión Interministerial,Transformación y Resiliencia,Organization,Organization
Comisión Interministerial,España,Organization,Place
Transformación y Resiliencia,Comisión Interministerial,Organization,Organization
Transformación y Resiliencia,España,Organization,Place
España,Comisión Interministerial,Place,Organization
España,Transformación y Resiliencia,Place,Organization
Cataluña,España,Place,Place
España,Cataluña,Place,Place
Mario Draghi,Italia,Person,Place
Mario Draghi,España,Person,Place
Mario Draghi,Europa,Person,Place
Italia,Mario Draghi,Place,Person
Italia,España,Place,Place
Italia,Europa,Place,Place
España,Mario Draghi,Place,Person
España,Italia,Place,Place
España,Europa,Place,Place
Europa,Mario Draghi,Place,Person
Europa,Italia,Place,Place
Europa,España,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,Cataluña,Place,Place
Barcelona,Cataluña,Place,Place
Cataluña,Barcelona,Place,Place
Ley de Startups,España,Other,Place
España,Ley de Startups,Place,Other
Generalitat,Cataluña,Organization,Place
Cataluña,Generalitat,Place,Organization
Barcelona,Cataluña,Place,Place
Cataluña,Barcelona,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,Generalitat,Place,Organization
Generalitat,Cataluña,Organization,Place
Cataluña,Girona,Place,Place
Girona,Cataluña,Place,Place
Salvador Illa,Cataluña,Person,Place
Cataluña,Salvador Illa,Place,Person
Cataluña,Salvador,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,España,Place,Place
Salvador,Cataluña,Place,Place
Salvador,Cataluña,Place,Place
Salvador,España,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,Salvador,Place,Place
Cataluña,España,Place,Place
España,Cataluña,Place,Place
España,Salvador,Place,Place
España,Cataluña,Place,Place
Cataluña,Lleida,Place,Place
Lleida,Cataluña,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,España,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,España,Place,Place
España,Cataluña,Place,Place
España,Cataluña,Place,Place
Tarragona,Cataluña,Place,Place
Cataluña,Tarragona,Place,Place
Ángel,Mieres,Person,Place
Mieres,Ángel,Place,Person
Alta Velocidad Monforte del Cid-Elche-Orihuela,España,Place,Place
España,Alta Velocidad Monforte del Cid-Elche-Orihuela,Place,Place
España,Myanmar,Place,Place
Myanmar,España,Place,Place
Hana,España,Person,Place
España,Hana,Place,Person
Salvador Illa,Cataluña,Person,Place
Cataluña,Salvador Illa,Place,Person
Tarragona,Generalitat,Place,Organization
Generalitat,Tarragona,Organization,Place
Cataluña,Cataluña,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,Barcelona,Place,Place
Barcelona,Cataluña,Place,Place
Reyes,Cuerpo Diplomático,Person,Organization
Reyes,España,Person,Place
Reyes,Comunidad Internacional,Person,Organization
Cuerpo Diplomático,Reyes,Organization,Person
Cuerpo Diplomático,España,Organization,Place
Cuerpo Diplomático,Comunidad Internacional,Organization,Organization
España,Reyes,Place,Person
España,Cuerpo Diplomático,Place,Organization
España,Comunidad Internacional,Place,Organization
Comunidad Internacional,Reyes,Organization,Person
Comunidad Internacional,Cuerpo Diplomático,Organization,Organization
Comunidad Internacional,España,Organization,Place
España,Acuerdo de París,Place,Other
España,Teresa,Place,Person
Acuerdo de París,España,Other,Place
Acuerdo de París,Teresa,Other,Person
Teresa,España,Person,Place
Teresa,Acuerdo de París,Person,Other
Estonia,Europa,Place,Place
Europa,Estonia,Place,Place
Marcelo Rebelo de Sousa,Portugal,Person,Place
Marcelo Rebelo de Sousa,España,Person,Place
Marcelo Rebelo de Sousa,Estados,Person,Place
Portugal,Marcelo Rebelo de Sousa,Place,Person
Portugal,España,Place,Place
Portugal,Estados,Place,Place
España,Marcelo Rebelo de Sousa,Place,Person
España,Portugal,Place,Place
España,Estados,Place,Place
Estados,Marcelo Rebelo de Sousa,Place,Person
Estados,Portugal,Place,Place
Estados,España,Place,Place
Cataluña,Salvador Illa,Place,Person
Cataluña,España,Place,Place
Salvador Illa,Cataluña,Person,Place
Salvador Illa,España,Person,Place
España,Cataluña,Place,Place
España,Salvador Illa,Place,Person
España,España,Place,Place
España,España,Place,Place
Zaragoza,Aragón,Place,Place
Zaragoza,España,Place,Place
Aragón,Zaragoza,Place,Place
Aragón,España,Place,Place
España,Zaragoza,Place,Place
España,Aragón,Place,Place
EUCO,UE,Organization,Organization
UE,EUCO,Organization,Organization
EE.UU,USA,Place,Place
USA,EE.UU,Place,Place
United States of America,US,Place,Place
US,United States of America,Place,Place
Spain,US,Place,Place
US,Spain,Place,Place
España,EE.UU,Place,Place
EE.UU,España,Place,Place
calle Toledo,Madrid,Place,Place
Madrid,calle Toledo,Place,Place
calle Toledo,Madrid,Place,Place
Madrid,calle Toledo,Place,Place
Plan de Acceso Universal Vacunación Solidaria,España,Other,Place
España,Plan de Acceso Universal Vacunación Solidaria,Place,Other
Sergi Mingote,K2,Person,Organization
K2,Sergi Mingote,Organization,Person
FCS,Mijas,Organization,Place
FCS,Sandra,Organization,Person
FCS,Cristina,Organization,Person
Mijas,FCS,Place,Organization
Mijas,Sandra,Place,Person
Mijas,Cristina,Place,Person
Sandra,FCS,Person,Organization
Sandra,Mijas,Person,Place
Sandra,Cristina,Person,Person
Cristina,FCS,Person,Organization
Cristina,Mijas,Person,Place
Cristina,Sandra,Person,Person
US Congress,Capitol Hill,Organization,Place
US Congress,Spain,Organization,Place
US Congress,United States,Organization,Place
Capitol Hill,US Congress,Place,Organization
Capitol Hill,Spain,Place,Place
Capitol Hill,United States,Place,Place
Spain,US Congress,Place,Organization
Spain,Capitol Hill,Place,Place
Spain,United States,Place,Place
United States,US Congress,Place,Organization
United States,Capitol Hill,Place,Place
United States,Spain,Place,Place
Congreso de EEUU,Capitolio,Organization,Place
Congreso de EEUU,España,Organization,Place
Congreso de EEUU,Estados Unidos,Organization,Place
Capitolio,Congreso de EEUU,Place,Organization
Capitolio,España,Place,Place
Capitolio,Estados Unidos,Place,Place
España,Congreso de EEUU,Place,Organization
España,Capitolio,Place,Place
España,Estados Unidos,Place,Place
Estados Unidos,Congreso de EEUU,Place,Organization
Estados Unidos,Capitolio,Place,Place
Estados Unidos,España,Place,Place
Capitol Hill,Washington,Place,Place
Capitol Hill,America,Place,Place
Washington,Capitol Hill,Place,Place
Washington,America,Place,Place
America,Capitol Hill,Place,Place
America,Washington,Place,Place
Capitolio,Washington,Place,Place
Capitolio,EE.UU,Place,Place
Washington,Capitolio,Place,Place
Washington,EE.UU,Place,Place
EE.UU,Capitolio,Place,Place
EE.UU,Washington,Place,Place
Arsenio Lope Huerta,Alcalá de Henares,Person,Place
Alcalá de Henares,Arsenio Lope Huerta,Place,Person
Las Palmas,Torrejón,Organization,Person
Torrejón,Las Palmas,Person,Organization
Reino Unido,Gibraltar,Place,Place
Gibraltar,Reino Unido,Place,Place
Argentina,Senado,Place,Organization
Senado,Argentina,Organization,Place
Croacia,España,Place,Place
España,Croacia,Place,Place
Araceli,Mónica,Person,Person
Araceli,España,Person,Place
Mónica,Araceli,Person,Person
Mónica,España,Person,Place
España,Araceli,Place,Person
España,Mónica,Place,Person
UE,Reino Unido,Organization,Place
UE,España,Organization,Place
UE,Gibraltar,Organization,Place
Reino Unido,UE,Place,Organization
Reino Unido,España,Place,Place
Reino Unido,Gibraltar,Place,Place
España,UE,Place,Organization
España,Reino Unido,Place,Place
España,Gibraltar,Place,Place
Gibraltar,UE,Place,Organization
Gibraltar,Reino Unido,Place,Place
Gibraltar,España,Place,Place
Charo,Cáceres,Person,Place
Cáceres,Charo,Place,Person
Europa,Canarias,Place,Place
Canarias,Europa,Place,Place
Casado,CGPJ,Person,Organization
Casado,Tribunal Constitucional,Person,Organization
CGPJ,Casado,Organization,Person
CGPJ,Tribunal Constitucional,Organization,Organization
Tribunal Constitucional,Casado,Organization,Person
Tribunal Constitucional,CGPJ,Organization,Organization
Europa,España,Place,Place
Europa,España,Place,Place
España,Europa,Place,Place
España,España,Place,Place
España,Europa,Place,Place
España,España,Place,Place
Hospital Regional de Málaga,Massimo Colombi,Organization,Person
Massimo Colombi,Hospital Regional de Málaga,Person,Organization
Acuerdo de Dayton,Muñoz Castellanos,Other,Person
Acuerdo de Dayton,Mostar,Other,Place
Acuerdo de Dayton,Bosnia,Other,Place
Acuerdo de Dayton,Herzegovina,Other,Place
Muñoz Castellanos,Acuerdo de Dayton,Person,Other
Muñoz Castellanos,Mostar,Person,Place
Muñoz Castellanos,Bosnia,Person,Place
Muñoz Castellanos,Herzegovina,Person,Place
Mostar,Acuerdo de Dayton,Place,Other
Mostar,Muñoz Castellanos,Place,Person
Mostar,Bosnia,Place,Place
Mostar,Herzegovina,Place,Place
Bosnia,Acuerdo de Dayton,Place,Other
Bosnia,Muñoz Castellanos,Place,Person
Bosnia,Mostar,Place,Place
Bosnia,Herzegovina,Place,Place
Herzegovina,Acuerdo de Dayton,Place,Other
Herzegovina,Muñoz Castellanos,Place,Person
Herzegovina,Mostar,Place,Place
Herzegovina,Bosnia,Place,Place
Acuerdo de París,Gobierno de España,Other,Organization
Gobierno de España,Acuerdo de París,Organization,Other
Europa,UE,Place,Organization
UE,Europa,Organization,Place
UE,España,Organization,Place
España,UE,Place,Organization
UE,Bruselas,Organization,Place
Bruselas,UE,Place,Organization
Bruselas,Europa,Place,Place
Europa,Bruselas,Place,Place
Pedro Piqueras,España,Person,Place
España,Pedro Piqueras,Place,Person
Tabaré Vázquez,Uruguay,Person,Place
Uruguay,Tabaré Vázquez,Place,Person
Cantabria,España,Place,Place
España,Cantabria,Place,Place
Agencia Europea del Medicamento,España,Organization,Place
España,Agencia Europea del Medicamento,Place,Organization
Lebanon,Beirut,Place,Place
Lebanon,Spain,Place,Place
Beirut,Lebanon,Place,Place
Beirut,Spain,Place,Place
Spain,Lebanon,Place,Place
Spain,Beirut,Place,Place
Beirut,España,Place,Place
España,Beirut,Place,Place
Estrategia Nacional de Inteligencia Artificial,España,Other,Place
España,Estrategia Nacional de Inteligencia Artificial,Place,Other
Ángela Molina,Luis Buñuel,Person,Person
Ángela Molina,Goya de Honor 2021,Person,Other
Luis Buñuel,Ángela Molina,Person,Person
Luis Buñuel,Goya de Honor 2021,Person,Other
Goya de Honor 2021,Ángela Molina,Other,Person
Goya de Honor 2021,Luis Buñuel,Other,Person
Atapuerca,Patrimonio de la Humanidad,Place,Other
Patrimonio de la Humanidad,Atapuerca,Other,Place
España,Soleá,Place,Person
Soleá,España,Person,Place
