Id,Label,category
Chipre,Chipre,Place
Turquía,Turquía,Place
Unión Europea,Unión Europea,Organization
Mediterráneo Oriental,Mediterráneo Oriental,Place
Mediterráneo Oriental,Mediterráneo Oriental,Place
España,España,Place
Turquía,Turquía,Place
UE,UE,Organization
Clara Campoamor,Clara Campoamor,Person
España,España,Place
Mafalda,Mafalda,Person
Quino,Quino,Person
España,España,Place
PP,PP,Organization
PP,PP,Organization
Cs,Cs,Organization
Madrid,Madrid,Place
UE,UE,Organization
Brexit,Brexit,Organization
Fondo de Recuperación,Fondo de Recuperación,Organization
UE,UE,Organization
Bielorrusia,Bielorrusia,Place
China,China,Place
Mediterráneo Oriental,Mediterráneo Oriental,Place
Alto Representante,Alto Representante,Organization
Unión Europea,Unión Europea,Organization
Secretary General of NATO,Secretary General of NATO,Person
Greece,Greece,Place
Turkey,Turkey,Place
NATO,NATO,Organization
EU,EU,Organization
OTAN,OTAN,Organization
Grecia,Grecia,Place
Turquía,Turquía,Place
OTAN,OTAN,Organization
UE,UE,Organization
Plan Nacional de Adaptación al Cambio Climático,Plan Nacional de Adaptación al Cambio Climático,Other
España,España,Place
Gobierno de España,Gobierno de España,Organization
Puerta del Sol,Puerta del Sol,Place
Madrid,Madrid,Place
Ruth Bader Ginsburg,Ruth Bader Ginsburg,Person
US Supreme Court,US Supreme Court,Organization
EEUU,EEUU,Place
Ruth Bader Ginsburg,Ruth Bader Ginsburg,Person
Comunidad de Madrid,Comunidad de Madrid,Place
Puerta del Sol,Puerta del Sol,Place
PP,PP,Organization
España,España,Place
Partido Popular,Partido Popular,Organization
Premio Nacional de Televisión 2020,Premio Nacional de Televisión 2020,Other
Andreu,Andreu,Person
Joaquín Carbonell,Joaquín Carbonell,Person
Aragón,Aragón,Place
Mediterráneo,Mediterráneo,Place
Ajaccio,Ajaccio,Place
PGE,PGE,Organization
Casado,Casado,Person
Plan Nacional de Recuperación,Plan Nacional de Recuperación,Other
España,España,Place
Bankia,Bankia,Organization
Caixabank,Caixabank,Organization
España,España,Place
Gobierno,Gobierno,Organization
Washington,Washington,Place
Martin Luther King,Martin Luther King,Person
EE.UU,EE.UU,Place
Huelva,Huelva,Place
Asturias,Asturias,Place
Cáceres,Cáceres,Place
Spain,Spain,Place
Japan,Japan,Place
Japón,Japón,Place
España,España,Place
Japón,Japón,Place
Murcia,Murcia,Place
UCI,UCI,Organization
Gobierno de España,Gobierno de España,Organization
UE,UE,Organization
Pepe Ayala,Pepe Ayala,Person
Doñana,Doñana,Place
España,España,Place
UNIFIL,UNIFIL,Place
Beirut,Beirut,Place
España,España,Place
Líbano,Líbano,Place
España,España,Place
Canarias,Canarias,Place
Cabildo de Lanzarote,Cabildo de Lanzarote,Place
Islas Canarias,Islas Canarias,Place
Adelina Carmen,Adelina Carmen,Person
Martina Blanca,Martina Blanca,Person
Julia Pilar Dionisia,Julia Pilar Dionisia,Person
Elena Joaquina,Elena Joaquina,Person
Iker Casillas,Iker Casillas,Person
Selección Española de Fútbol,Selección Española de Fútbol,Organization
Ejecutivo,Ejecutivo,Organization
PGE,PGE,Organization
Eusebio Leal,Eusebio Leal,Person
La Habana,La Habana,Place
Cuba,Cuba,Place
La Rioja,La Rioja,Place
San Millán de la Cogolla,San Millán de la Cogolla,Place
Airbus,Airbus,Organization
España,España,Place
Europa,Europa,Place
